employee_id,first_name,last_name,gender,department,job_title,education_level,performance_rating,state,home_city,base_location,hiredate,birthdate,termination_date,overtime,salary,adjusted_salary
SD - 00015,Vijay,Narayanan,male,Software Development,Backend Developer,Bachelor,Meets,Tamilnadu,Tiruchirappalli,Hyderabad,11-12-2022,17-08-1998,,No,638570,844414.7020580715
SD - 00016,Geeta,Sihag,female,Software Development,Software Engineer,Bachelor,Meets,Haryana,Gurugram,Bengaluru,08-10-2024,03-10-1989,,No,2592709,3397939.7715473673
SD - 00017,Meghana,Reddy,female,Software Development,Frontend Developer,Master,Meets,Telangana,Nalgonda,Pune,01-02-2024,03-02-1980,,No,955563,1570554.4425077392
DA - 00018,Thomas,Mathew,male,Data & Analytics,Business Intelligence Analyst,Master,Meets,Kerala,Kozhikode,Kolkata,17-11-2024,30-05-2000,,No,963257,1433820.1955093746
QA - 00019,Hari,Raychaudhuri,male,Quality Assurance & Testing,Manual Tester,Diploma,Meets,West Bengal,Kharagpur,Bengaluru,28-11-2018,29-05-1986,,Yes,1680190,1960094.289961185
AI - 00020,Prachi,Brahmbhatt,female,AI & Machine Learning,ML Engineer,Master,Exceeds,Gujarat,Ahmedabad,Bengaluru,14-12-2021,23-02-1985,,No,2148604,3388866.475075002
SD - 00021,Savita,Rana,female,Software Development,Frontend Developer,Bachelor,Partial,Uttarakhand,Haridwar,Bengaluru,22-04-2018,20-07-1994,,No,1392948,1864776.6288851623
DC - 00022,Vaibhav,Soman,male,Delivery & Client Services,Delivery Manager,PhD,Partial,Maharashtra,Nagpur,Bengaluru,26-07-2023,06-05-1985,,Yes,562422,1033675.357901299
DA - 00023,Wangmo,Yobin,female,Data & Analytics,Analytics Consultant,Bachelor,Exceeds,Arunachal Pradesh,Pasighat,Bhubaneswar,11-07-2022,12-05-1996,,No,2649051,3424290.5587122096
SD - 00024,Anitha,Kumar,female,Software Development,Software Architect,PhD,Star,Kerala,Palakkad,Hyderabad,24-06-2022,17-10-1971,,No,2228957,3945001.662977572
IT - 00025,Pulak,Mazumdar,male,IT Support,IT Helpdesk Specialist,Diploma,Meets,West Bengal,Kharagpur,Hyderabad,30-11-2016,28-11-1986,,No,781756,902522.3830030892
IT - 00026,Anita,Oraon,female,IT Support,Network Engineer,Bachelor,Meets,Jharkhand,Jamshedpur,Hyderabad,24-11-2024,10-10-1970,,No,568635,777201.2299083724
CD - 00027,Sunita,Jamwal,female,Cloud & DevOps,Kubernetes Administrator,Bachelor,Meets,Himachal Pradesh,Dharamshala,Hyderabad,06-12-2023,22-09-1984,,No,1485110,2020623.4155169108
SD - 00028,Rita,Dogra,female,Software Development,Software Engineer,Master,Meets,Himachal Pradesh,Manali,Bengaluru,14-08-2023,23-04-1969,,No,1423344,2248796.962053676
SM - 00029,Imran,Patel,male,Sales & Marketing,Pre-Sales Consultant,Master,Star,Telangana,Hyderabad,Bhubaneswar,15-02-2019,17-11-1987,,No,2156287,3379054.3523698268
PS - 00030,Chirag,Mahajan,male,Product & Strategy,Strategy Consultant,Master,Meets,Maharashtra,Pune,Kolkata,25-05-2021,25-05-1986,,No,1503469,2314118.498182027
SD - 00031,Debolina,Mazumdar,female,Software Development,Frontend Developer,Bachelor,Exceeds,West Bengal,Durgapur,Bengaluru,05-12-2019,14-07-1973,,No,661161,892972.596609356
RD - 00032,Nang,Galo,female,Research & Development (R&D),Prototype Developer,Master,Meets,Arunachal Pradesh,Itanagar,Hyderabad,25-05-2024,24-09-1983,,No,1425006,2238468.8853249094
SD - 00033,Ritu,Thakur,female,Software Development,Frontend Developer,Master,Meets,Bihar,Patna,Kolkata,20-03-2023,19-10-1982,,Yes,2197732,3370350.0612032954
AI - 00034,Nandini,Swain,female,AI & Machine Learning,GenAI Engineer,Master,Meets,Odisha,Bhubaneswar,Bengaluru,09-07-2023,27-05-1972,24-01-2024,No,2067840,3270649.9415732296
SM - 00035,Sushma,Khadilkar,female,Sales & Marketing,Brand Strategist,Master,Partial,Maharashtra,Mumbai,Hyderabad,05-04-2022,31-10-1986,,No,1847258,2815688.113899287
IT - 00036,Arunendra,Chaudhary,male,IT Support,IT Asset Manager,Bachelor,Below,Jharkhand,Ranchi,Pune,30-01-2017,13-07-1982,,Yes,870859,1196970.7956593616
IT - 00037,Vamsi,Naik,male,IT Support,System Administrator,Bachelor,Meets,Telangana,Hyderabad,Hyderabad,12-01-2022,03-06-1977,,No,1140844,1555644.344924577
AD - 00038,Leonard,Lobo,male,Administration,Facility Coordinator,Bachelor,Meets,Goa,Margao,Bhubaneswar,17-12-2021,26-10-1961,,No,737455,1045017.1440660139
AI - 00039,Raghunath,Dixit,male,AI & Machine Learning,ML Engineer,Bachelor,Meets,Maharashtra,Nashik,Bengaluru,19-08-2021,01-06-1980,,No,2644932,3520163.6545941643
AI - 00040,Santosh,Bapat,male,AI & Machine Learning,MLOps Engineer,Master,Meets,Maharashtra,Nashik,Chennai,03-04-2022,18-08-1991,,No,3309113,5156174.628415818
SD - 00041,Farida,Ganie,female,Software Development,Backend Developer,Bachelor,Meets,Jammu & Kashmir,Srinagar,Kolkata,18-08-2022,18-12-1981,,No,1536305,2050726.7320635337
AI - 00042,Nandini,Pujari,female,AI & Machine Learning,Deep Learning Engineer,PhD,Exceeds,Odisha,Cuttack,Bengaluru,09-08-2018,10-10-1965,,No,1842547,3375083.295376295
IT - 00043,Neelam,Shukla,female,IT Support,IT Support Specialist,Diploma,Below,Madhya Pradesh,Bhopal,New Delhi,31-12-2022,28-02-1990,,No,607256,690480.8779594405
SD - 00044,Ritu,Das,female,Software Development,Software Engineer,Master,Star,Bihar,Patna,New Delhi,05-01-2022,03-05-1988,,Yes,2145560,3360836.3132193685
SM - 00045,Vamsi,Mohan,male,Sales & Marketing,Content Writer,Master,Meets,Andhra Pradesh,Kakinada,Bengaluru,10-07-2022,31-10-1987,,No,1171525,1837423.7429852993
SD - 00046,Renu,Mehta,female,Software Development,Full-Stack Developer,Bachelor,Exceeds,Himachal Pradesh,Shimla,Bengaluru,20-12-2021,10-04-1986,,No,2304345,2996253.2190048574
PS - 00047,Meena,Sharma,female,Product & Strategy,Strategy Consultant,Master,Meets,Sikkim,Geyzing,Pune,05-11-2022,02-02-1975,,No,2887427,4819020.245247521
IT - 00048,Ranju,Darlong,female,IT Support,Network Engineer,Master,Meets,Tripura,Udaipur,Chennai,20-02-2021,11-12-1998,,Yes,490044,756053.1772310653
LC - 00049,Sumit,Duggal,male,Legal & Compliance,Contract Manager,Master,Meets,Delhi,New Delhi,Pune,16-03-2023,06-05-1981,,No,2462447,4044784.920374544
AI - 00050,Alka,Thakkar,female,AI & Machine Learning,MLOps Engineer,Bachelor,Meets,Gujarat,Vadodara,Bengaluru,22-05-2023,15-01-1959,11-05-2025,Yes,3840300,5462524.6298697535
DB - 00051,Shakir,Kaul,male,Databases,SQL Developer,Master,Star,Jammu & Kashmir,Srinagar,Bengaluru,25-10-2022,07-01-1980,,Yes,1608081,2542701.903203291
SD - 00052,Raju,Reang,male,Software Development,Mobile App Developer,Bachelor,Meets,Tripura,Agartala,Hyderabad,18-01-2019,15-02-1981,,No,1045801,1420436.6746865395
DA - 00053,Gregory,Korgaonkar,male,Data & Analytics,ETL Developer,Master,Exceeds,Goa,Margao,Bengaluru,07-07-2022,29-12-1958,,Yes,2140394,3526532.3000691975
PS - 00054,Kamal,Barman,male,Product & Strategy,Program Manager,Master,Partial,Tripura,Udaipur,New Delhi,16-11-2022,16-09-1970,,No,2779310,4469781.283777512
CSRV - 00055,Pranab,Chakraborty,male,Customer Service,Technical Support Engineer,Master,Exceeds,West Bengal,Kolkata,Pune,11-01-2023,22-07-1972,,No,359493,583064.131043905
DC - 00056,Rupali,Sachdeva,female,Delivery & Client Services,Account Delivery Lead,Master,Exceeds,Delhi,New Delhi,Bengaluru,24-01-2024,03-03-1989,,No,1820028,2845840.4580694954
RD - 00057,Usha,Biswal,female,Research & Development (R&D),Prototype Developer,Master,Below,Odisha,Bhubaneswar,Bhubaneswar,28-08-2022,08-02-1978,,No,1454146,2370075.417586646
SM - 00058,Anitha,Perumal,female,Sales & Marketing,Performance Marketer,Bachelor,Meets,Tamilnadu,Chennai,Bengaluru,02-01-2023,12-05-1998,,Yes,2028270,2639736.894177217
SD - 00059,Sathish,Padmanabha,male,Software Development,Angular Developer,Master,Meets,Andhra Pradesh,Kakinada,New Delhi,05-10-2019,15-05-1984,,Yes,2351413,3805194.878042011
SD - 00060,Ravi,Tete,male,Software Development,Tech Lead,Master,Meets,Jharkhand,Dhanbad,Bengaluru,15-05-2021,28-07-1973,,Yes,2798817,4472130.195712786
SD - 00061,Swagatika,Mahapatra,female,Software Development,Embedded Systems Engineer,Master,Meets,Odisha,Rourkela,Pune,25-11-2022,24-10-1977,,No,1600385,2614528.990357761
SD - 00062,Uzma,Khan,female,Software Development,Full-Stack Developer,Master,Meets,Jammu & Kashmir,Anantnag,Chennai,22-11-2023,29-02-1968,,Yes,2248946,3519431.772242244
SD - 00063,Reshma,Pillai,female,Software Development,Backend Developer,Master,Exceeds,Kerala,Kozhikode,Hyderabad,29-09-2017,30-09-1953,,Yes,2421016,4336320.38331716
PS - 00064,Meena,Munda,female,Product & Strategy,Business Analyst,Bachelor,Exceeds,Chhattisgarh,Raipur,Bengaluru,24-11-2024,12-09-1973,,No,1018368,1403378.1225889337
QA - 00065,Mahesh,Barot,male,Quality Assurance & Testing,Security Tester,Master,Exceeds,Gujarat,Surat,Hyderabad,20-01-2019,30-06-1966,,No,1682538,2862503.420497977
UX - 00066,Anil,Baghel,male,UI/UX & Design,UX Designer,Bachelor,Partial,Chhattisgarh,Raipur,Bengaluru,04-08-2019,13-03-1995,,No,1908477,2523286.84888142
DC - 00067,Sandeep,Patil,male,Delivery & Client Services,Engagement Manager,Master,Meets,Maharashtra,Nagpur,Bengaluru,02-05-2024,15-08-1976,,No,816723,1360853.8243631904
DA - 00068,Hema,Hegde,female,Data & Analytics,Data Scientist,Bachelor,Below,Karnataka,Belgaum,Bhubaneswar,03-08-2024,20-11-1979,,Yes,1798838,2400199.3306863676
SD - 00069,Seema,Rajput,female,Software Development,Embedded Systems Engineer,Bachelor,Meets,Madhya Pradesh,Ujjain,Hyderabad,11-04-2023,09-01-1969,,Yes,945226,1329937.6678656482
DB - 00070,Prem,Verma,male,Databases,Database Administrator (DBA),Bachelor,Meets,Himachal Pradesh,Shimla,Bengaluru,11-10-2023,05-01-2001,,No,666581,856577.760684161
QA - 00071,Lalrintluanga,Lalrammawia,male,Quality Assurance & Testing,Automation Tester,Bachelor,Partial,Mizoram,Saiha,Bhubaneswar,17-11-2016,02-01-1981,,No,1243960,1714241.4360308861
SD - 00072,Caetano,Salgaonkar,male,Software Development,Software Engineer,Bachelor,Star,Goa,Margao,Kolkata,19-11-2019,20-07-1979,,No,2939344,3991317.5979108736
RD - 00073,Chintan,Chamar,male,Research & Development (R&D),Prototype Developer,Bachelor,Meets,Chhattisgarh,Bhilai,Hyderabad,11-07-2024,24-07-1973,,No,2069932,2988585.0976641127
SD - 00074,Ramendra,Reang,male,Software Development,Embedded Systems Engineer,Bachelor,Meets,Tripura,Udaipur,Pune,26-06-2023,31-10-1998,,No,912675,1175556.8495888591
DC - 00075,Ravinderpal,Brar,male,Delivery & Client Services,Engagement Manager,Master,Meets,Punjab,Ludhiana,Pune,17-10-2020,08-08-1985,,No,1941662,2960776.610135667
PS - 00076,Angela,Mascarenhas,female,Product & Strategy,Innovation Strategist,Master,Meets,Goa,Panaji,Hyderabad,09-12-2022,25-12-2000,,No,525609,777580.9368799282
SD - 00077,Reshma,Abraham,female,Software Development,Embedded Systems Engineer,Bachelor,Exceeds,Kerala,Thiruvananthapuram,Bhubaneswar,14-07-2022,10-06-1985,,No,2780659,3762891.9838268193
SD - 00078,Sandeep,Rebello,male,Software Development,Angular Developer,Bachelor,Meets,Goa,Panaji,Bengaluru,20-08-2022,25-04-1983,,No,865105,1150028.408099894
CS - 00079,Sukhwinder,Pannu,male,Cybersecurity,Penetration Tester,Bachelor,Meets,Punjab,Ludhiana,Bengaluru,07-01-2022,25-03-1994,,No,532421,698219.8109169953
DA - 00080,Jaswinder,Singh,female,Data & Analytics,BI Engineer,Master,Star,Punjab,Chandigarh,Bhubaneswar,14-01-2023,19-06-2003,,No,2151935,3183646.098882223
SD - 00081,Poonam,Sharma,female,Software Development,Tech Lead,Master,Partial,Rajasthan,Bikaner,Pune,14-02-2024,19-07-1976,,Yes,1701385,2789462.2590493388
SD - 00082,Pratibha,Silveira,female,Software Development,Mobile App Developer,Bachelor,Partial,Goa,Panaji,Bengaluru,31-12-2020,04-04-1973,,Yes,2926644,3933052.9234567783
SD - 00083,Rajesh,Merchant,male,Software Development,Embedded Systems Engineer,Master,Meets,Gujarat,Ahmedabad,Bengaluru,15-10-2022,21-11-1968,,No,1725982,2727862.979587168
UX - 00084,Dilshad,Zargar,female,UI/UX & Design,Interaction Designer,Bachelor,Meets,Jammu & Kashmir,Baramulla,Bengaluru,15-08-2016,03-05-1994,,No,539365,712046.2775566818
QA - 00085,Ghulam,Zargar,male,Quality Assurance & Testing,QA Lead,Bachelor,Meets,Jammu & Kashmir,Baramulla,Kolkata,07-11-2023,05-09-1991,,No,1070241,1452322.3218742423
SD - 00086,Prem,Sahu,female,Software Development,Mobile App Developer,Master,Meets,Odisha,Cuttack,Pune,12-06-2022,25-07-1960,,No,1803621,2874964.5828240667
AI - 00087,Sujata,Naik,female,AI & Machine Learning,Deep Learning Engineer,PhD,Below,Maharashtra,Pune,Bengaluru,11-03-2022,10-06-1986,,No,2243990,3906546.857709271
AI - 00088,Arun,Swaminathan,male,AI & Machine Learning,GenAI Engineer,Master,Partial,Tamilnadu,Chennai,Hyderabad,22-12-2022,22-11-1965,,No,2120844,3427760.4041475616
OP - 00089,Tapan,Dutta,male,Operations,Logistics Coordinator,Diploma,Below,West Bengal,Durgapur,Pune,28-05-2018,27-09-1965,,No,1006246,1290495.4662310255
SD - 00090,Venu,Das,male,Software Development,Full-Stack Developer,Bachelor,Meets,Kerala,Thiruvananthapuram,Pune,22-06-2016,10-10-1964,,No,1381479,1962940.2032266567
FN - 00091,Orpi,Bhattacharya,female,Finance,Financial Analyst,Master,Meets,West Bengal,Durgapur,Bhubaneswar,17-07-2019,26-04-1982,,No,568857,908804.7804329776
IT - 00092,Satyendra,Shukla,male,IT Support,Network Engineer,Bachelor,Meets,Chhattisgarh,Bhilai,Bhubaneswar,15-05-2023,03-07-1976,,Yes,723041,1027898.5565153357
SD - 00093,Salman,Shaikh,male,Software Development,React.js Developer,Bachelor,Meets,Telangana,Warangal,Hyderabad,01-04-2016,21-12-1990,,Yes,560655,731660.0220696548
SM - 00094,Anil,Kashyap,male,Sales & Marketing,Content Writer,Bachelor,Partial,Bihar,Patna,Hyderabad,27-04-2015,14-09-1981,08-05-2023,No,500275,664268.625291635
SD - 00095,Gaurav,Kapoor,male,Software Development,Software Programmer,Bachelor,Meets,Delhi,New Delhi,Bengaluru,19-09-2015,14-05-1988,08-06-2025,No,1185651,1598015.8786474161
SD - 00096,Rekha,Sundari,female,Software Development,Angular Developer,Bachelor,Meets,Tripura,Udaipur,New Delhi,13-11-2021,01-12-1961,,Yes,1411355,2063430.200269816
SD - 00097,Pravin,Shandilya,male,Software Development,Frontend Developer,Master,Partial,Bihar,Patna,Bengaluru,15-11-2018,06-11-1955,,Yes,2319647,3712236.100498806
DC - 00098,Amita,Carvalho,female,Delivery & Client Services,Service Delivery Lead,Master,Meets,Goa,Panaji,Pune,16-09-2024,10-04-1989,,No,1792193,2739080.6688072723
DC - 00099,Bijoy,Talukdar,male,Delivery & Client Services,Engagement Manager,Master,Meets,Tripura,Udaipur,Pune,16-12-2018,26-05-1975,03-07-2019,No,1156889,1869956.5262097495
AI - 00100,Rani,Dubey,female,AI & Machine Learning,GenAI Engineer,Master,Meets,Uttar Pradesh,Kanpur,Bhubaneswar,15-12-2021,28-12-1996,,No,2424272,3636226.5195553442
SD - 00101,Lazu,Apatani,male,Software Development,Mobile App Developer,Master,Meets,Arunachal Pradesh,Itanagar,Hyderabad,31-03-2023,26-11-1999,,Yes,1389836,2118799.5284857303
OP - 00102,Seema,Rana,female,Operations,Operations Analyst,Bachelor,Meets,Haryana,Rohtak,Hyderabad,15-06-2024,17-03-1970,,No,884454,1207234.371303309
SD - 00103,Neelam,Singhdeo,female,Software Development,React.js Developer,Bachelor,Meets,Jharkhand,Ranchi,Bengaluru,07-08-2019,30-12-1959,,Yes,969286,1443306.4990574275
LC - 00104,Khadija,Gowda,female,Legal & Compliance,Data Privacy Officer,Master,Meets,Telangana,Warangal,Hyderabad,18-09-2023,23-03-1994,,No,1130190,1758228.4977538157
CSRV - 00105,Deepak,Raghavan,male,Customer Service,Customer Support Engineer,Bachelor,Meets,Andhra Pradesh,Amaravati,Bhubaneswar,19-09-2015,20-03-1972,,Yes,617500,898060.1923208704
DA - 00106,Sukhdeep,Bajwa,male,Data & Analytics,Data Scientist,PhD,Star,Punjab,Mohali,Pune,03-11-2024,12-09-1979,,No,2712334,4980198.711176532
CD - 00107,Navjot,Kaur,female,Cloud & DevOps,Infrastructure as Code (IaC) Engineer,Bachelor,Partial,Punjab,Chandigarh,Pune,06-05-2022,17-06-1994,,No,1551114,1999393.488771958
SD - 00108,Deepak,Sathe,male,Software Development,Backend Developer,Bachelor,Meets,Maharashtra,Nashik,Pune,05-10-2018,29-12-1984,,No,2763985,3593055.161953887
SD - 00109,Lazu,Puroik,male,Software Development,Mobile App Developer,Master,Meets,Arunachal Pradesh,Itanagar,Bhubaneswar,20-07-2023,18-11-1981,,No,2425617,3759423.281568544
AI - 00110,Aditya,Vaidya,male,AI & Machine Learning,AI Engineer,Bachelor,Exceeds,Maharashtra,Pune,Kolkata,07-08-2021,28-06-1994,,No,2048589,2759383.4903742275
CS - 00111,Seema,Singh,female,Cybersecurity,Security Engineer,Bachelor,Meets,Bihar,Patna,Bengaluru,05-04-2019,28-07-1997,,Yes,1169828,1546355.521296115
SD - 00112,Raghubir,Sangwan,male,Software Development,Full-Stack Developer,Master,Meets,Haryana,Panchkula,Bengaluru,03-01-2019,31-08-1955,,No,604087,968329.9592324988
AI - 00113,Tanmay,Pradhan,male,AI & Machine Learning,AI Engineer,Bachelor,Meets,Odisha,Sambalpur,Hyderabad,12-12-2024,13-01-1974,07-09-2025,No,1810483,2410477.5843032473
PS - 00114,Jiten,Mahanta,male,Product & Strategy,Strategy Consultant,Master,Exceeds,Assam,Silchar,Bengaluru,26-06-2017,25-06-1953,,No,2183539,3717291.086865723
IT - 00115,Smita,Ahirwar,female,IT Support,IT Helpdesk Specialist,Bachelor,Exceeds,Madhya Pradesh,Gwalior,Chennai,11-03-2024,13-03-1963,,No,563769,810218.4922406073
IT - 00116,Prasanta,Behera,male,IT Support,System Administrator,Bachelor,Meets,Odisha,Sambalpur,Bengaluru,19-07-2022,20-01-1987,,No,1070934,1477729.9784002819
IT - 00117,Nihar,Sethi,male,IT Support,Network Engineer,Bachelor,Meets,Odisha,Cuttack,New Delhi,05-07-2023,19-01-1975,,Yes,269857,370493.3213225896
IT - 00118,Nafisa,Zargar,female,IT Support,Network Engineer,Master,Partial,Jammu & Kashmir,Baramulla,Bhubaneswar,23-01-2023,11-09-1995,,No,645129,972000.8399020156
CS - 00119,Sandhya,Hedge,female,Cybersecurity,Application Security Engineer,Master,Meets,Maharashtra,Nashik,Bengaluru,09-04-2018,25-05-1980,,Yes,3456935,5488279.74444457
AI - 00120,Parvathy,Mathew,female,AI & Machine Learning,Prompt Engineer,Master,Partial,Kerala,Palakkad,Bengaluru,25-06-2021,10-01-1972,,Yes,2455459,4041062.4469306134
SD - 00121,Chandru,Naqvi,male,Software Development,Angular Developer,Master,Exceeds,Telangana,Khammam,Bhubaneswar,08-10-2022,08-09-1987,,Yes,2133511,3280952.5137781934
SD - 00122,Kumudini,Harichandan,female,Software Development,Angular Developer,Bachelor,Meets,Odisha,Cuttack,Hyderabad,16-08-2024,10-06-1985,,No,775225,1053236.7151957566
FN - 00123,Poonam,Panda,female,Finance,Accountant,Bachelor,Partial,Odisha,Bhubaneswar,Pune,26-07-2015,01-01-1976,,No,1755268,2371480.1955779064
DC - 00124,Norbu,Rai,male,Delivery & Client Services,Delivery Manager,PhD,Meets,Sikkim,Mangan,Bengaluru,11-02-2018,09-11-1986,,Yes,1813950,3297320.9413939174
SD - 00125,Dinesh,Behera,male,Software Development,Software Programmer,Bachelor,Partial,Odisha,Cuttack,New Delhi,13-02-2022,16-03-1985,,Yes,1493812,1990987.202657716
OP - 00126,Usha,Pareek,female,Operations,Logistics Coordinator,Diploma,Meets,Rajasthan,Bikaner,New Delhi,02-04-2020,06-05-1978,,No,952168,1158628.1682781
DA - 00127,Srikanta,Behera,male,Data & Analytics,Data Engineer,Bachelor,Meets,Odisha,Rourkela,Hyderabad,12-10-2021,25-08-1978,,No,1316084,1835291.3802723421
CS - 00128,Anil,Bisoyee,male,Cybersecurity,Threat Intelligence Analyst,Master,Star,Odisha,Bhubaneswar,Hyderabad,27-01-2022,19-04-1979,,Yes,2682470,4253616.990715323
SD - 00129,Sunil,Kale,male,Software Development,React.js Developer,Bachelor,Meets,Maharashtra,Pune,Pune,19-08-2022,26-11-1999,,Yes,1467270,1920637.6394888943
SD - 00130,Virender,Dhankar,male,Software Development,React.js Developer,Bachelor,Meets,Haryana,Kurukshetra,Bengaluru,16-02-2016,25-03-1993,,No,2163125,2824086.4438237944
DC - 00131,Birendranath,Nag,male,Delivery & Client Services,Account Delivery Lead,Master,Exceeds,Jharkhand,Jamshedpur,Kolkata,05-09-2024,06-02-1984,,No,934132,1493077.4622851298
SM - 00132,Swati,Baghel,female,Sales & Marketing,Technical Account Manager,Master,Meets,Chhattisgarh,Bhilai,Bengaluru,13-09-2022,12-08-1974,,Yes,773304,1196611.09876825
SM - 00133,Deepak,Srivastava,male,Sales & Marketing,Brand Strategist,Master,Exceeds,Uttar Pradesh,Varanasi,Bengaluru,02-10-2016,28-12-1971,02-12-2018,No,1282890,2089186.8212493886
SD - 00134,Pankaj,Ahluwalia,male,Software Development,Principal Engineer,Master,Partial,Delhi,New Delhi,Hyderabad,19-06-2023,08-06-1978,,Yes,2586285,4036387.13135504
QA - 00135,Manjot,Sandhu,female,Quality Assurance & Testing,SDET (Software Development Engineer in Test),Bachelor,Meets,Punjab,Amritsar,Chennai,02-08-2021,11-09-1959,,No,978911,1384892.595056306
SD - 00136,Ramesh,Coutinho,male,Software Development,Backend Developer,Bachelor,Partial,Goa,Margao,Pune,14-09-2024,05-09-1960,,No,1785223,2593811.2278402015
SD - 00137,Narendra,Gehlot,male,Software Development,Mobile App Developer,Bachelor,Star,Rajasthan,Bikaner,Bengaluru,20-10-2020,26-04-2000,,No,2743988,3493154.3238787777
AI - 00138,Rekha,Kunwar,female,AI & Machine Learning,Computer Vision Engineer,Bachelor,Partial,Uttarakhand,Nainital,Pune,24-02-2024,23-04-1961,,Yes,1603826,2306942.322961888
CD - 00139,Kishore,Saini,male,Cloud & DevOps,Platform Engineer,Master,Meets,Rajasthan,Udaipur,Bengaluru,15-08-2022,25-08-1997,,No,2054849,3080746.5512150363
SM - 00140,Kirandeep,Waraich,female,Sales & Marketing,Sales Executive,Master,Meets,Punjab,Chandigarh,Hyderabad,13-04-2018,18-08-1980,,No,1379306,2230677.1513891015
CD - 00141,Vandana,Grewal,female,Cloud & DevOps,DevOps Engineer,Master,Exceeds,Delhi,New Delhi,Bengaluru,06-08-2023,02-11-1959,,No,811764,1423853.730105961
DA - 00142,Imchen,Kevichüsa,male,Data & Analytics,Analytics Consultant,Bachelor,Star,Nagaland,Kohima,Kolkata,17-04-2018,21-10-1983,,No,2426705,3308262.8111382453
SD - 00143,Surekha,Fernandes da Costa,female,Software Development,Angular Developer,Master,Meets,Goa,Margao,Hyderabad,27-09-2019,04-03-1968,,No,1410696,2243334.4240971464
AI - 00144,Suresh,Malik,male,AI & Machine Learning,NLP Scientist,Master,Below,Telangana,Nalgonda,New Delhi,23-04-2021,21-02-1986,,No,732894,1113566.659569155
SD - 00145,Bidisha,Mahapatra,female,Software Development,Software Engineer,Bachelor,Exceeds,Odisha,Sambalpur,Hyderabad,26-11-2023,30-09-1997,,No,2777265,3598259.0238525914
DB - 00146,Shobha,Panchal,female,Databases,Database Engineer,Bachelor,Exceeds,Rajasthan,Jaipur,Bhubaneswar,31-01-2023,27-12-1996,,Yes,1081365,1411287.2890536296
DB - 00147,Milind,Parab,male,Databases,SQL Developer,Master,Meets,Goa,Margao,Bengaluru,24-12-2017,02-06-1992,27-04-2020,Yes,2063893,3264930.655533038
SM - 00148,Usha,Sheoran,female,Sales & Marketing,Content Writer,Bachelor,Meets,Haryana,Panchkula,Bengaluru,06-07-2024,03-07-1969,,No,1333685,1907492.0174176553
DA - 00149,Lata,Nagar,female,Data & Analytics,Analytics Consultant,Bachelor,Meets,Chhattisgarh,Bhilai,Chennai,03-02-2019,12-08-1997,,Yes,766151,980514.4782373599
